Date,Open,High,Low,Close,Volume,Adj Close,
2016-12-30,49.150002,49.23,48.790001,48.91,868900,48.91,-0.005614931
2016-12-01,50.029999,50.09,49.810001,49.919998,770900,49.186177,
2016-11-30,50.439999,50.490002,50.220001,50.220001,2119500,49.48177,-0.044520563
2016-11-01,53.080002,53.080002,52.299999,52.560001,609500,51.787373,
2016-10-31,52.900002,52.98,52.77,52.830002,447400,52.053404,-0.026713281
2016-10-03,54.060001,54.310001,53.900002,54.279999,584300,53.482086,
2016-09-30,54,54.150002,53.790001,54.060001,545200,53.265323,0.010089704
2016-09-01,53.310001,53.52,53.200001,53.52,730300,52.73326,
2016-08-31,53.419998,53.419998,53.099998,53.27,864300,52.486935,0.003579483
2016-08-01,53.220001,53.330002,53.02,53.080002,511200,52.299729,
2016-07-29,52.970001,53.139999,52.77,53.09,775800,52.309581,0.0237177
2016-07-01,51.830002,52.02,51.790001,51.860001,1236900,51.097662,
2016-06-30,51.41,51.68,51.23,51.59,1195400,50.83163,0.041927922
2016-06-01,50.029999,50.200001,49.919998,50.139999,551500,48.786129,
2016-05-31,50.139999,50.299999,50.040001,50.169998,838500,48.815318,-0.026958952
2016-05-02,51.43,51.610001,51.299999,51.560001,467700,50.167789,
2016-04-29,51.52,51.630001,51.139999,51.459999,461100,50.070487,0.002337343
2016-04-01,50.689999,51.380001,50.490002,51.34,576400,49.953728,
2016-03-31,51.490002,51.599998,51.23,51.369999,1551500,49.982917,0.064883861
2016-03-01,47.73,48.290001,47.689999,48.240002,1304300,46.937435,
2016-02-29,47.080002,47.380001,46.98,47.029999,1083000,45.760104,0.002558051
2016-02-01,46.689999,46.98,46.52,46.91,658000,45.643346,
2016-01-29,46.400002,47.009998,46.310001,47,592200,45.730915,-0.010942781
2016-01-04,47.529999,47.560001,47.139999,47.52,475200,46.236875,
2015-12-31,48.77,48.939999,48.610001,48.66,690500,47.346092,-0.027459558
2015-12-01,50.459999,50.73,50.450001,50.700001,502800,48.682903,
2015-11-30,50.209999,50.330002,50.02,50.299999,419300,48.298815,-0.049329065
2015-11-02,52.599998,52.959999,52.419998,52.91,947500,50.804977,
2015-10-30,52.48,52.509998,52.299999,52.34,545800,50.257655,0.046799996
2015-10-01,50.110001,50.119999,49.709999,50,1443000,48.010752,
2015-09-30,49.560001,49.830002,49.419998,49.82,788600,47.837913,0.004233014
2015-09-01,50.380001,50.380001,49.369999,49.610001,1490400,47.636268,
2015-08-31,50.619999,50.959999,50.369999,50.880001,339200,48.855742,-0.074067329
2015-08-03,55.119999,55.209999,54.790001,54.950001,337700,52.763817,
2015-07-31,55.459999,55.73,55.349998,55.490002,360300,53.282334,-0.038967788
2015-07-01,57.950001,58.099998,57.599998,57.740002,323900,55.442818,
2015-06-30,58.139999,58.189999,57.549999,57.68,345200,55.385203,-0.022462454
2015-06-01,60.119999,60.119999,59.529999,59.610001,250500,56.657878,
2015-05-29,60.490002,60.490002,60.029999,60.07,396200,57.095096,-0.038572339
2015-05-01,62.459999,62.549999,62.110001,62.48,162100,59.385743,
2015-04-30,62.689999,62.689999,62.150002,62.23,287000,59.148124,0.041855012
2015-04-01,59.59,59.73,59.369999,59.73,239000,56.771934,
2015-03-31,58.900002,59.080002,58.720001,59.009998,1047000,56.08759,0.006138047
2015-03-02,58.700001,58.939999,58.490002,58.650002,375200,55.745422,
2015-02-27,58.619999,58.970001,58.59,58.75,356600,55.840468,0.014155008
2015-02-02,57.849998,58.080002,57.52,57.93,377200,55.061078,
2015-01-30,57.650002,57.75,57.220001,57.299999,331200,54.462277,0.020480808
2015-01-02,56.619999,56.619999,55.900002,56.150002,313600,53.369232,
